match_id,team_id,competition_name,team,passes_attempted,passes_completed,shots,shots_on_target,goals,xg,xg_per_shot,crosses,through_balls,switches,pressures,counterpresses,interceptions,blocks,clearances,dribbles_attempted,dribbles_completed,pass_completion_pct,possession_pct,ppda,gs_team_id,team_name,team_short,game_id,rel_hsr_runs,rel_hsr_dist_m,rel_avg_peak_spd,rel_max_spd,abs_hsr_runs,abs_hsr_dist_m,abs_avg_peak_spd,abs_max_spd,delta_hsr_runs,delta_hsr_dist_m,match_date,match_stage,match_week,home_score,away_score,home_team_id,away_team_id,result
3857290,2722,WC22,Cameroon,533,440,8,5,0,0.613,0.077,14,1,21,145,52,15,15,19,11,9,82.6,49.3,3.14,379,Cameroon,CMR,3824,51,571.3,24.41,44.64,56,777.4,25.78,44.64,-5,-206.10000000000002,2022-11-24,Group Stage,1,1,0,773,2722,L
3869685,779,WC22,Argentina,693,560,24,14,7,5.892,0.246,17,5,20,167,89,13,26,26,21,9,80.8,54.9,2.77,364,Argentina,ARG,10517,90,980.8,25.78,44.28,98,1109.1,26.26,44.28,-8,-128.29999999999995,2022-12-18,Final,7,3,3,779,771,D
3869519,779,WC22,Argentina,432,358,9,7,3,1.864,0.207,4,5,10,192,65,8,23,18,12,8,82.9,40.0,2.91,364,Argentina,ARG,10514,54,529.9,23.54,36.36,45,511.8,25.0,36.36,9,18.099999999999966,2022-12-13,Semi-finals,6,3,0,779,785,W
3857264,779,WC22,Argentina,909,826,24,13,2,3.077,0.128,19,1,18,88,44,7,12,7,17,12,90.9,73.0,3.15,364,Argentina,ARG,3850,34,338.9,22.8,45.0,25,265.7,25.47,45.0,9,73.19999999999999,2022-11-30,Group Stage,3,0,2,789,779,W
3869420,781,WC22,Brazil,747,652,24,14,3,4.95,0.206,15,4,9,164,80,8,29,13,31,11,87.3,50.3,3.67,361,Brazil,BRA,10510,50,533.3,25.17,37.69,72,814.0,24.71,37.69,-22,-280.70000000000005,2022-12-09,Quarter-finals,5,1,1,785,781,D
3857274,941,WC22,Netherlands,552,457,2,1,1,0.104,0.052,3,1,8,135,46,5,25,24,8,3,82.8,54.4,2.81,366,Netherlands,NED,3830,48,566.4,26.3,37.49,62,717.6,25.56,37.49,-14,-151.20000000000005,2022-11-25,Group Stage,2,1,1,941,3565,D
3857277,785,WC22,Croatia,686,577,5,1,0,0.85,0.17,10,2,13,107,46,12,18,9,12,5,84.1,64.1,2.8,371,Croatia,CRO,3820,32,430.9,26.15,35.23,42,542.4,25.54,35.23,-10,-111.5,2022-11-23,Group Stage,1,0,0,788,785,D
3857275,771,WC22,France,661,564,10,3,0,0.477,0.048,15,0,16,94,43,12,17,19,15,8,85.3,64.7,2.93,363,France,FRA,3849,54,695.8,24.79,40.96,59,756.9,25.02,40.96,-5,-61.10000000000002,2022-11-30,Group Stage,3,1,0,777,771,L
3857269,781,WC22,Brazil,597,507,13,5,1,0.923,0.071,18,0,8,104,41,14,17,11,13,5,84.9,53.8,3.8,361,Brazil,BRA,3842,50,671.6,29.23,45.0,76,1021.3,27.34,45.0,-26,-349.69999999999993,2022-11-28,Group Stage,2,1,0,781,773,W
3857292,795,WC22,Costa Rica,374,284,7,5,1,1.035,0.148,10,0,15,125,34,15,21,37,13,7,75.9,32.8,4.76,385,Costa Rica,CRC,3855,79,881.2,22.51,45.0,52,641.4,24.35,45.0,27,239.80000000000007,2022-12-01,Group Stage,3,2,4,795,770,L
3857296,782,WC22,Belgium,630,543,16,3,0,2.382,0.149,17,4,11,119,43,12,22,30,12,9,86.2,50.8,3.98,362,Belgium,BEL,3852,67,749.8,22.9,40.3,48,555.4,24.01,40.3,19,194.39999999999998,2022-12-01,Group Stage,3,0,0,785,782,D
3857272,768,WC22,England,582,500,8,3,0,0.461,0.058,10,0,27,103,40,7,21,20,13,8,85.9,56.1,3.48,50,England,ENG,3831,81,824.9,22.36,36.62,56,580.4,24.25,36.62,25,244.5,2022-11-25,Group Stage,2,0,0,768,1839,D
3857277,788,WC22,Morocco,384,301,8,2,0,0.363,0.045,3,0,16,168,60,15,23,22,14,8,78.4,35.9,3.33,374,Morocco,MAR,3820,27,405.1,31.11,45.0,41,565.1,28.09,45.0,-14,-160.0,2022-11-23,Group Stage,1,0,0,788,785,D
3857270,780,WC22,Portugal,626,525,15,3,2,1.214,0.081,9,3,18,86,39,7,22,31,14,6,83.9,58.8,3.81,365,Portugal,POR,3843,45,494.7,24.6,36.3,45,548.3,24.9,36.3,0,-53.599999999999966,2022-11-28,Group Stage,2,2,0,780,783,W
3869420,785,WC22,Croatia,737,639,13,5,5,3.767,0.29,15,1,24,151,63,14,22,34,13,11,86.7,49.7,3.99,371,Croatia,CRO,10510,45,504.7,24.93,39.81,52,599.1,24.93,39.81,-7,-94.40000000000003,2022-12-09,Quarter-finals,5,1,1,785,781,D
3857263,772,WC22,Spain,663,578,7,2,1,0.64,0.091,8,4,14,124,60,12,15,16,18,6,87.2,64.1,2.46,52,Spain,ESP,3839,50,595.3,25.29,45.0,68,808.4,25.18,45.0,-18,-213.10000000000002,2022-11-27,Group Stage,2,1,1,772,770,D
3869152,771,WC22,France,593,505,16,8,3,1.126,0.07,15,1,13,117,41,15,18,12,13,10,85.2,54.9,3.25,363,France,FRA,10504,27,312.8,26.35,45.0,33,379.4,25.69,45.0,-6,-66.59999999999997,2022-12-04,Round of 16,4,3,1,771,789,W
3857281,785,WC22,Croatia,507,411,13,10,4,2.61,0.201,21,3,15,166,59,17,16,18,13,7,81.1,48.9,2.66,371,Croatia,CRO,3838,34,344.5,24.61,42.06,54,566.5,23.93,42.06,-20,-222.0,2022-11-27,Group Stage,2,4,1,785,1833,W
3857269,773,WC22,Switzerland,513,428,6,0,0,0.289,0.048,5,0,4,112,50,8,14,27,9,2,83.4,46.2,4.46,370,Switzerland,SUI,3842,52,712.2,24.67,43.85,55,762.3,24.87,43.85,-3,-50.09999999999991,2022-11-28,Group Stage,2,1,0,781,773,L
3869220,772,WC22,Spain,1068,960,15,3,0,2.845,0.19,21,6,17,152,75,9,18,10,21,12,89.9,74.5,2.04,52,Spain,ESP,10508,82,899.4,27.38,45.0,94,1054.4,26.88,45.0,-12,-155.0000000000001,2022-12-06,Round of 16,4,0,0,788,772,D
3857274,3565,WC22,Ecuador,463,359,15,4,1,1.651,0.11,12,0,10,170,63,15,20,18,15,3,77.5,45.6,2.69,381,Ecuador,ECU,3830,49,548.1,24.76,34.96,41,474.1,26.33,34.96,8,74.0,2022-11-25,Group Stage,2,1,1,941,3565,D
3857301,3566,WC22,Qatar,452,362,10,3,1,0.96,0.096,13,1,24,149,34,10,16,24,5,3,80.1,45.2,3.13,360,Qatar,QAT,3829,49,609.0,27.8,45.0,48,649.7,29.54,45.0,1,-40.700000000000045,2022-11-25,Group Stage,2,1,3,3566,787,L
3857282,1839,WC22,United States,610,520,6,1,1,0.602,0.1,18,2,14,137,66,13,21,24,6,3,85.2,57.9,2.59,51,United States,USA,3815,65,800.8,24.49,45.0,47,669.3,27.63,45.0,18,131.5,2022-11-21,Group Stage,1,1,1,1839,907,D
